-120,-209,-0.082573,-0.17163,3.2438
-120,-169,-0.22874,-0.31938,3.3639
-120,-129,-0.15979,-0.189,3.049
-120,-89,-0.0098105,0.0047103,3.1706
-120,-49,-0.029137,-0.0012582,3.1639
-120,-9,-0.04732,0.012111,3.2295
-120,31,-0.060701,0.00045981,3.1824
-120,71,-0.069053,0.014793,3.741
-120,111,-0.080404,0.071307,4.1201
-120,151,-0.043186,0.10795,-0.050497
-120,191,-0.018987,0.11754,0.052827
-120,231,-0.10344,0.28643,-0.99894
-160,-209,-0.10024,-0.15101,3.2062
-160,-169,-0.085616,-0.088799,3.1939
-160,-129,-0.094152,-0.075765,3.1988
-160,-89,-0.078387,-0.033024,3.1322
-160,-49,-0.082949,-0.0057432,3.1377
-160,-9,-0.077032,0.021474,3.1821
-160,31,-0.10642,0.041666,3.1696
-160,71,-0.12655,0.035941,3.3392
-160,111,-0.091742,0.059531,3.2052
-160,151,-0.10142,0.070488,0.59604
-160,191,-0.052794,0.14158,4.2172
-160,231,-0.14999,0.26461,-1.3316
-209,-209,-0.05676,-0.063085,3.1642
-209,-169,-0.045715,-0.020169,3.1331
-209,-129,-0.090661,-0.051377,3.1955
-209,-89,-0.054556,-0.0060271,3.1617
-209,-49,-0.089148,0.012345,3.1477
-209,-9,-0.084494,0.062286,3.2061
-209,31,-0.093379,0.045598,3.1944
-209,71,-0.16894,0.017572,3.1115
-209,111,-0.13719,0.060147,3.2378
-209,151,-0.10724,0.026044,2.3086
-209,191,-0.26641,0.24393,2.7629
-209,231,-0.47222,0.46831,1.5932
-40,-209,-0.0028396,-0.17833,3.1551
-40,-169,-0.013208,-0.11441,3.2885
-40,-129,-0.0085166,-0.099714,3.1631
-40,-89,-0.0088504,-0.069996,3.1225
-40,-49,-0.020519,-0.034419,3.1746
-40,-9,-0.026442,-0.0025436,3.1932
-40,31,-0.021965,0.015106,2.8902
-40,71,-0.035219,0.068619,-0.17654
-40,111,-0.067256,0.19178,-0.19773
-40,151,-0.065578,0.25219,0.22899
-40,191,-0.06369,0.36812,-0.32655
-40,231,-0.091842,0.45775,-0.045897
-80,-209,-0.066958,-0.15985,3.0862
-80,-169,-0.01602,-0.047827,3.2846
-80,-129,-0.012423,-0.037301,3.16
-80,-89,-0.017167,-0.0020808,3.1799
-80,-49,-0.046899,0.01127,3.15
-80,-9,-0.048879,0.015001,3.0238
-80,31,-0.059542,0.051317,3.1936
-80,71,-0.079343,0.089638,-1.1469
-80,111,-0.047726,0.099313,-0.22472
-80,151,-0.025854,0.11251,-0.090334
-80,191,0.0076911,0.16896,-0.15928
