i0,if,y0,z0,yf,zf
8,66,0.5,-10.578947368421053,3.5,-12.68421052631579
8,72,0.5,-10.578947368421053,3.5,-6.368421052631579
8,81,0.5,-10.578947368421053,4.5,-17.94736842105263
8,84,0.5,-10.578947368421053,4.5,-14.789473684210527
8,86,0.5,-10.578947368421053,4.5,-12.68421052631579
8,95,0.5,-10.578947368421053,4.5,-3.2105263157894743
8,96,0.5,-10.578947368421053,4.5,-2.157894736842106
9,1,0.5,-9.526315789473685,0.5,-17.94736842105263
9,7,0.5,-9.526315789473685,0.5,-11.631578947368421
9,13,0.5,-9.526315789473685,0.5,-5.315789473684211
9,15,0.5,-9.526315789473685,0.5,-3.2105263157894743
9,24,0.5,-9.526315789473685,1.5,-14.789473684210527
9,27,0.5,-9.526315789473685,1.5,-11.631578947368421
9,28,0.5,-9.526315789473685,1.5,-10.578947368421053
9,31,0.5,-9.526315789473685,1.5,-7.421052631578949
9,33,0.5,-9.526315789473685,1.5,-5.315789473684211
9,37,0.5,-9.526315789473685,1.5,-1.1052631578947363
9,39,0.5,-9.526315789473685,1.5,1.0
9,55,0.5,-9.526315789473685,2.5,-3.2105263157894743
9,69,0.5,-9.526315789473685,3.5,-9.526315789473685
9,71,0.5,-9.526315789473685,3.5,-7.421052631578949
9,85,0.5,-9.526315789473685,4.5,-13.736842105263158
9,86,0.5,-9.526315789473685,4.5,-12.68421052631579
10,15,0.5,-8.473684210526317,0.5,-3.2105263157894743
10,23,0.5,-8.473684210526317,1.5,-15.842105263157894
10,55,0.5,-8.473684210526317,2.5,-3.2105263157894743
10,56,0.5,-8.473684210526317,2.5,-2.157894736842106
10,61,0.5,-8.473684210526317,3.5,-17.94736842105263
10,63,0.5,-8.473684210526317,3.5,-15.842105263157894
10,64,0.5,-8.473684210526317,3.5,-14.789473684210527
10,70,0.5,-8.473684210526317,3.5,-8.473684210526317
10,72,0.5,-8.473684210526317,3.5,-6.368421052631579
10,74,0.5,-8.473684210526317,3.5,-4.2631578947368425
10,80,0.5,-8.473684210526317,4.5,-19.0
10,83,0.5,-8.473684210526317,4.5,-15.842105263157894
10,85,0.5,-8.473684210526317,4.5,-13.736842105263158
11,29,0.5,-7.421052631578949,1.5,-9.526315789473685
11,62,0.5,-7.421052631578949,3.5,-16.894736842105264
11,63,0.5,-7.421052631578949,3.5,-15.842105263157894
11,71,0.5,-7.421052631578949,3.5,-7.421052631578949
11,92,0.5,-7.421052631578949,4.5,-6.368421052631579
11,94,0.5,-7.421052631578949,4.5,-4.2631578947368425
12,28,0.5,-6.368421052631579,1.5,-10.578947368421053
12,49,0.5,-6.368421052631579,2.5,-9.526315789473685
12,68,0.5,-6.368421052631579,3.5,-10.578947368421053
12,84,0.5,-6.368421052631579,4.5,-14.789473684210527
12,90,0.5,-6.368421052631579,4.5,-8.473684210526317
12,92,0.5,-6.368421052631579,4.5,-6.368421052631579
13,12,0.5,-5.315789473684211,0.5,-6.368421052631579
13,49,0.5,-5.315789473684211,2.5,-9.526315789473685
13,50,0.5,-5.315789473684211,2.5,-8.473684210526317
13,63,0.5,-5.315789473684211,3.5,-15.842105263157894
