wheel_l,wheel_r,beta_l,beta_r,alpha
-4.838709677419355,5.483870967741936,-0.09760521114260858,0.10696743908141305,-0.3289485365604899
-4.838709677419355,6.129032258064514,-0.0982511233813718,0.11946656894130919,-0.42841484260183865
-4.838709677419355,6.774193548387098,-0.09690012186519645,0.13406942430448787,-0.49386876814093744
-4.838709677419355,7.419354838709679,-0.09347089975776077,0.151192583277338,-0.5520457008441627
-4.838709677419355,8.064516129032256,-0.08841152440830245,0.17133055775936087,-0.6025308345469514
-4.838709677419355,8.709677419354843,-0.08171404952229437,0.1944170325871605,-0.6516946740237011
-4.838709677419355,9.35483870967742,-0.07392505628431353,0.22073968080035838,-0.6978648266074894
8.064516129032256,10.0,0.02353491729137275,0.1011392533480595,-0.010260706085966334
8.064516129032256,9.35483870967742,-0.012062267837426708,0.012129735282700697,-0.006828195204563348
8.064516129032256,8.709677419354836,-0.005801573357692379,0.005810804156885074,-0.0007422698425025534
8.064516129032256,8.064516129032258,3.064114019690062e-06,3.064114019070303e-06,-1.641915770012048e-16
8.064516129032256,7.419354838709679,0.005812671280366316,-0.0058035162848335915,0.0005842325091532257
8.064516129032256,6.7741935483871,0.012154249693112665,-0.012098838667314276,0.006497363992983032
8.064516129032256,6.129032258064514,0.01848014201129092,-0.01820817551200793,0.016253175942045187
8.064516129032256,5.483870967741936,0.024831844668846796,-0.024015052057729143,0.029771843304195446
8.064516129032256,4.838709677419355,0.03129888506138167,-0.02942574711760929,0.047066991003556886
8.064516129032256,4.193548387096775,0.038003067944612716,-0.03435323810048911,0.0681483033584382
8.064516129032256,3.5483870967741926,0.045087938240549394,-0.03872812565263733,0.09299634733094193
8.064516129032256,2.9032258064516134,0.05270348465347783,-0.042512722951095414,0.12154232625863577
8.064516129032256,2.258064516129032,0.06098814276166613,-0.045714163733761796,0.15364842436427628
8.064516129032256,1.612903225806452,0.07004760067842727,-0.048393553592197665,0.18909380320830765
8.064516129032256,0.967741935483872,0.07993108330206573,-0.050668191546836834,0.22757381115084346
8.064516129032256,0.32258064516129,0.0900932539535814,-0.05249209933600748,0.27408874984708664
8.064516129032256,-0.32258064516129,0.10158739117886269,-0.054319966999711866,0.3183603129854536
8.064516129032256,-0.96774193548387,0.11383830602723585,-0.05676706440701128,0.35816251266366933
8.064516129032256,-1.612903225806452,0.12565224836502947,-0.059489860314621064,0.4043729093406893
8.064516129032256,-2.258064516129032,0.1372760541693341,-0.06271475906266567,0.45269818896910885
